2015	9	17	20	10	0	100	35	1-16
2015	9	17	20	20	0	230	85	1-16
2015	9	17	20	30	0	100	35	1-16
2015	9	17	20	40	0	230	85	1-16
2015	9	17	20	50	0	100	35	1-16
2015	9	17	21	0	0	230	85	1-16
2015	9	17	21	10	0	100	35	1-16
2015	9	17	21	20	0	230	85	1-16
2015	9	17	21	30	0	100	35	1-16
2015	9	17	21	40	0	230	85	1-16
2015	9	17	21	50	0	100	35	1-16
2015	9	17	22	0	0	230	85	1-16
2015	9	17	22	10	0	100	35	1-16
2015	9	17	22	20	0	230	85	1-16
2015	9	17	22	30	0	100	35	1-16
2015	9	17	22	40	0	230	85	1-16
2015	9	17	22	50	0	100	35	1-16
2015	9	17	23	0	0	230	85	1-16
2015	9	17	23	10	0	100	35	1-16
2015	9	17	23	20	0	230	85	1-16
2015	9	17	23	30	0	100	35	1-16
2015	9	17	23	40	0	230	85	1-16
2015	9	17	23	50	0	100	35	1-16
